,Time,Instruction,Output Channel,Page,Channel No
0,2,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
1,4,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
2,6,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
3,8,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
4,10,synci,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
5,12,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
6,14,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
7,16,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
8,18,seti,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
9,20,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
10,22,seti,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
11,24,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
12,26,regwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
13,28,set,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,-1
14,30,synci,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
15,32,mathi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
16,34,memwi,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
17,36,loopnz,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
18,38,end,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,-1
19,200,set,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",3,7
20,300,seti,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,0
21,310,seti,"[[0.0], [], [], [], [], [], [], [69905067.0, 0.0, 0.0, 3000.0, 589844.0]]",0,0
